organization_id,# of adoptable pets,age,Latitude,Longitude,name_y,url_y
AR303,1,Adult,35.99403,-94.219977,Animal League of Washington County,https://www.petfinder.com/member/us/ar/fayetteville/animal-league-of-washington-county-ar303/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR308,4,Adult,35.074616999999996,-92.444426,ArkanPaws Animal Rescue,https://www.petfinder.com/member/us/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR308,4,Young,35.074616999999996,-92.444426,ArkanPaws Animal Rescue,https://www.petfinder.com/member/us/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR335,1,Adult,35.227869,-92.13033,Greener Days Ahead Rescue,https://www.petfinder.com/member/us/ar/mount-vernon/greener-days-ahead-rescue-ar335/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR354,2,Adult,34.751917999999996,-92.392487,Community Cats of Central AR,https://www.petfinder.com/member/us/ar/jacksonville/community-cats-of-central-ar-ar354/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR36,6,Adult,36.392122,-93.7476,Good Shepherd Humane Society,https://www.petfinder.com/member/us/ar/eureka-springs/good-shepherd-humane-society-ar36/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR363,2,Baby,36.362525,-94.23308,Mew Cat Rescue,https://www.petfinder.com/member/us/ar/bentonville/mew-cat-rescue-ar363/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR372,9,Young,35.357040999999995,-94.36914,Kitties & Kanines Shelter,https://www.petfinder.com/member/us/ar/fort-smith/kitties-and-kanines-shelter-ar372/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR383,22,Adult,36.306616,-94.14622,Best Friends Animal Society in Northwest Arkansas,https://www.petfinder.com/member/us/ar/rogers/best-friends-animal-society-in-northwest-arkansas-ar383/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR45,4,Young,34.588479,-94.21566999999999,Humane Society of the Ouachitas,https://www.petfinder.com/member/us/ar/mena/humane-society-of-the-ouachitas-ar45/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR47,2,Adult,36.040467,-94.13376,Fayetteville Animal Shelter,https://www.petfinder.com/member/us/ar/fayetteville/fayetteville-animal-shelter-ar47/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR65,1,Young,35.781079999999996,-91.63835,Humane Society of Independence County,https://www.petfinder.com/member/us/ar/batesville/humane-society-of-independence-county-ar65/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR79,1,Adult,36.040467,-94.13376,The Humane Society of the Ozarks,https://www.petfinder.com/member/us/ar/fayetteville/the-humane-society-of-the-ozarks-ar79/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR95,4,Baby,36.329026,-92.35781,Humane Society of North Central Arkansas,https://www.petfinder.com/member/us/ar/mountain-home/humane-society-of-north-central-arkansas-ar95/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR99,4,Adult,34.523858000000004,-92.46989,Humane Society of Saline County,https://www.petfinder.com/member/us/ar/bauxite/humane-society-of-saline-county-ar99/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ09,3,Adult,33.624140000000004,-112.00416000000001,HALO Animal Rescue,https://www.petfinder.com/member/us/az/phoenix/halo-animal-rescue-az09/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ104,8,Baby,34.271427,-110.03676000000002,Pet Allies,https://www.petfinder.com/member/us/az/show-low/pet-allies-az104/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ110,14,Adult,32.700018,-114.52671000000001,Humane Society of Yuma,https://www.petfinder.com/member/us/az/yuma/humane-society-of-yuma-az110/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ114,3,Young,34.59668,-112.49066,United Animal Friends,https://www.petfinder.com/member/us/az/prescott/united-animal-friends-az114/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ13,1,Adult,33.328951,-111.8735,We're The Cat's Meow Pet Rescue,https://www.petfinder.com/member/us/az/chandler/were-the-cats-meow-pet-rescue-az13/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ143,2,Young,31.857504,-111.00903999999998,Animal League of Green Valley,https://www.petfinder.com/member/us/az/green-valley/animal-league-of-green-valley-az143/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ150,2,Baby,34.243578,-111.28137,Humane Society of Central Arizona,https://www.petfinder.com/member/us/az/payson/humane-society-of-central-arizona-az150/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ20,22,Adult,32.242724,-111.0209,Pima Animal Care Center,https://www.petfinder.com/member/us/az/tucson/pima-animal-care-center-az20/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ236,2,Senior,32.242275,-110.92533,HOPE Animal Shelter,https://www.petfinder.com/member/us/az/tucson/hope-animal-shelter-az236/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ24,9,Adult,34.162407,-109.9952,Humane Society of the White Mountains,https://www.petfinder.com/member/us/az/lakeside/humane-society-of-the-white-mountains-az24/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ242,1,Baby,33.452432,-113.01652,Desert Dogs Rescue Inc.,https://www.petfinder.com/member/us/az/tonopah/desert-dogs-rescue-inc-az242/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ261,1,Adult,33.850506,-112.05927,Hope for Cats,https://www.petfinder.com/member/us/az/chandler/hope-for-cats-az261/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ285,1,Young,33.321315999999996,-111.888824,R.A.I.N. Rescue,https://www.petfinder.com/member/us/az/chandler/r-dot-ai-dot-n-rescue-az285/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ313,11,Adult,33.394067,-111.92873,Lost Our Home Pet Foundation,https://www.petfinder.com/member/us/az/tempe/lost-our-home-pet-foundation-az313/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ363,7,Adult,33.237229,-111.8004,Saving One Life,https://www.petfinder.com/member/us/az/chandler/saving-one-life-az363/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ368,1,Young,33.227266,-111.61086999999999,2nd Chance Dog Rescue,https://www.petfinder.com/member/us/az/queen-creek/2nd-chance-dog-rescue-az368/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ403,1,Young,33.798581,-111.8708,Arizona Cattle Dog Rescue,https://www.petfinder.com/member/us/az/scottsdale/arizona-cattle-dog-rescue-az403/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ414,13,Adult,33.237229,-111.8004,Underdog Rescue of Az,https://www.petfinder.com/member/us/az/chandler/underdog-rescue-of-az-az414/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ418,2,Adult,31.377370000000003,-110.9264,Santa Cruz County Animal Care and Control Services,https://www.petfinder.com/member/us/az/nogales/santa-cruz-county-animal-care-and-control-services-az418/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ457,1,Baby,33.657722,-112.17825,Saving Paws,https://www.petfinder.com/member/us/az/glendale/saving-paws-az457/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ468,27,Baby,32.084775,-110.71225,Tucson2Tails,https://www.petfinder.com/member/us/az/tucson/tucson2tails-az468/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ48,7,Adult,34.723788,-112.01002,Verde Valley Humane Society,https://www.petfinder.com/member/us/az/cottonwood/verde-valley-humane-society-az48/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ493,2,Adult,33.381097,-111.8756,Pound Animals Worth Saving (P.A.W.S.) Fur the Cause,https://www.petfinder.com/member/us/az/mesa/pound-animals-worth-saving-p-dot-aw-dot-s-fur-the-cause-az493/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ511,1,Baby,33.698731,-112.11429,All About Animals Rescue,https://www.petfinder.com/member/us/az/phoenix/all-about-animals-rescue-az511/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ535,1,Adult,33.598841,-112.12023,Cool Cats Rescue,https://www.petfinder.com/member/us/az/phoenix/cool-cats-rescue-az535/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ587,3,Baby,33.675564,-112.04717,Sunshine Dog Rescue,https://www.petfinder.com/member/us/az/phoenix/sunshine-dog-rescue-az587/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ627,1,Senior,33.638271,-112.09341,Living the Dream Rescue,https://www.petfinder.com/member/us/az/phoenix/living-the-dream-rescue-az627/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ638,2,Young,33.596823,-112.32364,Forever Loving Hearts Rescue,https://www.petfinder.com/member/us/az/el-mirage/forever-loving-hearts-rescue-az638/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ659,2,Adult,32.213291,-110.82558999999999,Southwest Oasis Labrador Rescue,https://www.petfinder.com/member/us/az/tucson/southwest-oasis-labrador-rescue-az659/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ666,1,Adult,32.816055,-109.76487,Desert Cat Rescue & Sanctuary of Arizona,https://www.petfinder.com/member/us/az/thatcher/desert-cat-rescue-and-sanctuary-of-arizona-az666/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ672,1,Baby,34.765452,-112.45931000000002,Yavapai Humane Trappers,https://www.petfinder.com/member/us/az/chino-valley/yavapai-humane-trappers-az672/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ677,1,Baby,32.240625,-110.94791000000001,Pathways for Paws,https://www.petfinder.com/member/us/az/tucson/pathways-for-paws-az677/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ691,1,Baby,33.449995,-112.09024,AZ Ruff Roads Rescue,https://www.petfinder.com/member/us/az/phoenix/az-ruff-roads-rescue-az691/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ692,2,Young,33.698731,-112.11429,Az Hidden Jem Rescue,https://www.petfinder.com/member/us/az/phoenix/az-hidden-jem-rescue-az692/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ75,2,Adult,31.562546,-110.24288,Sierra Vista Animal Control,https://www.petfinder.com/member/us/az/sierra-vista/sierra-vista-animal-control-az75/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AZ91,1,Young,35.25925,-113.95225,Help Animals Lives Today,https://www.petfinder.com/member/us/az/kingman/help-animals-lives-today-az91/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA09,2,Young,33.016928,-116.846046,Foundation for the Care of Indigent Animals,https://www.petfinder.com/member/us/ca/spring-valley/foundation-for-the-care-of-indigent-animals-ca09/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1074,2,Adult,34.264635,-118.45961000000001,Best Friends Lifesaving Center,https://www.petfinder.com/member/us/ca/mission-hills/best-friends-lifesaving-center-ca1074/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1076,3,Young,32.804972,-117.16871,Chihuahua Rescue of San Diego,https://www.petfinder.com/member/us/ca/san-diego/chihuahua-rescue-of-san-diego-ca1076/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1092,2,Senior,37.189396,-121.705327,Calys Cats Feline Rescue,https://www.petfinder.com/member/us/ca/stanford/calys-cats-feline-rescue-ca1092/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA111,1,Young,37.769528,-122.25936999999999,Island Cat Resources & Adoption,https://www.petfinder.com/member/us/ca/alameda/island-cat-resources-and-adoption-ca111/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1110,2,Adult,37.644481,-120.98043,Stanislaus Animal Services Agency,https://www.petfinder.com/member/us/ca/modesto/stanislaus-animal-services-agency-ca1110/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1164,5,Adult,36.586193,-121.88667,The SPCA for Monterey County,https://www.petfinder.com/member/us/ca/monterey/the-spca-for-monterey-county-ca1164/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1167,7,Adult,33.796153000000004,-117.00046,Ramona Humane Society,https://www.petfinder.com/member/us/ca/san-jacinto/ramona-humane-society-ca1167/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA117,4,Adult,32.8201,-116.91233999999999,Friends of Cats,https://www.petfinder.com/member/us/ca/el-cajon/friends-of-cats-ca117/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1171,1,Adult,38.684324,-121.06878999999999,Fat Kitty City,https://www.petfinder.com/member/us/ca/el-dorado-hills/fat-kitty-city-ca1171/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1207,1,Young,32.8201,-116.91233999999999,Adopt a Friend Forever Rescue,https://www.petfinder.com/member/us/ca/el-cajon/adopt-a-friend-forever-rescue-ca1207/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1251,1,Young,37.995238,-120.3437,Sonora Cat Rescue,https://www.petfinder.com/member/us/ca/sonora/sonora-cat-rescue-ca1251/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1303,1,Baby,34.078509999999994,-118.26596,Ken-Mar Rescue,https://www.petfinder.com/member/us/ca/los-angeles/ken-mar-rescue-ca1303/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1328,3,Adult,38.337243,-122.30027,"Whiskers, Tails and Ferals",https://www.petfinder.com/member/us/ca/napa/whiskers-tails-and-ferals-ca1328/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA134,2,Senior,34.208141999999995,-118.4011,Heaven on Earth Society for Animals,https://www.petfinder.com/member/us/ca/north-hollywood/heaven-on-earth-society-for-animals-ca134/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1356,19,Young,32.823865000000005,-117.19966000000001,The Barking Lot Rescue,https://www.petfinder.com/member/us/ca/san-diego/the-barking-lot-rescue-ca1356/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1361,4,Young,33.811566,-117.82919,MeoowzResQ,https://www.petfinder.com/member/us/ca/orange/meoowzresq-ca1361/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA137,3,Adult,33.786594,-118.29866200000001,Cat Connection,https://www.petfinder.com/member/us/ca/sherman-oaks/cat-connection-ca137/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA138,2,Senior,37.225787,-121.61789399999999,Town Cats,https://www.petfinder.com/member/us/ca/morgan-hill/town-cats-ca138/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1394,18,Baby,33.500842999999996,-117.65866000000001,"The Ark of San Juan, Companion Animal Rescue",https://www.petfinder.com/member/us/ca/san-juan-capistrano/the-ark-of-san-juan-companion-animal-rescue-ca1394/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1441,5,Adult,33.761076,-116.53588700000002,Palm Springs Animal Shelter,https://www.petfinder.com/member/us/ca/palm-springs/palm-springs-animal-shelter-ca1441/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA148,9,Young,33.438428,-117.623131,San Clemente-Dana Point Animal Shelter,https://www.petfinder.com/member/us/ca/san-clemente/san-clemente-dana-point-animal-shelter-ca148/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1482,1,Young,32.714991999999995,-117.12536999999999,Second Chance Dog Rescue,https://www.petfinder.com/member/us/ca/san-diego/second-chance-dog-rescue-ca1482/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA149,3,Adult,37.922024,-121.3025,Stockton Animal Shelter and the Animal Protection League,https://www.petfinder.com/member/us/ca/stockton/stockton-animal-shelter-and-the-animal-protection-league-ca149/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA15,1,Adult,34.137857000000004,-118.16328999999999,Pasadena Humane,https://www.petfinder.com/member/us/ca/pasadena/pasadena-humane-ca15/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1527,7,Young,33.926315,-117.40937,Riverside County Animal Services,https://www.petfinder.com/member/us/ca/riverside/riverside-county-animal-services-ca1527/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA153,2,Baby,33.053092,-117.26855,Rancho Coastal Humane Society,https://www.petfinder.com/member/us/ca/encinitas/rancho-coastal-humane-society-ca153/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1534,8,Adult,33.821318,-116.38023000000001,Coachella Valley City/County Animal Shelter,https://www.petfinder.com/member/us/ca/thousand-palms/coachella-valley-city-county-animal-shelter-ca1534/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1571,1,Adult,39.13255,-121.0981,Sammie's Friends Animal Shelter,https://www.petfinder.com/member/us/ca/grass-valley/sammies-friends-animal-shelter-ca1571/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1573,4,Baby,35.132673,-118.50781,Have-a-Heart Humane Society,https://www.petfinder.com/member/us/ca/tehachapi/have-a-heart-humane-society-ca1573/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1586,1,Adult,38.34896,-121.908324,Cat Tales Rescue,https://www.petfinder.com/member/us/ca/vacaville/cat-tales-rescue-ca1586/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA159,1,Baby,34.002010999999996,-118.43083,Rescue Me Pet Foundation,https://www.petfinder.com/member/us/ca/los-angeles/rescue-me-pet-foundation-ca159/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1598,5,Adult,37.673513,-120.95566000000001,Pupz N Palz Rescue,https://www.petfinder.com/member/us/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1612,1,Adult,33.914614,-118.35092,Adoptables at spcaLA South Bay PAC,https://www.petfinder.com/member/us/ca/hawthorne/adoptables-at-spcala-south-bay-pac-ca1612/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA163,8,Baby,34.036085,-117.6086,West End Shelter for Animals,https://www.petfinder.com/member/us/ca/ontario/west-end-shelter-for-animals-ca163/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1675,1,Adult,39.750422,-121.61026000000001,Town of Paradise Animal Shelter,https://www.petfinder.com/member/us/ca/paradise/town-of-paradise-animal-shelter-ca1675/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1727,3,Adult,36.506063,-119.54587,Pawsitive Connections,https://www.petfinder.com/member/us/ca/kingsburg/pawsitive-connections-ca1727/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1750,11,Baby,33.955913,-118.35868,The Lovejoy Foundation Inc./Facility Clubhouse,https://www.petfinder.com/member/us/ca/inglewood/the-lovejoy-foundation-inc-dot-facility-clubhouse-ca1750/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1771,4,Baby,35.474913,-120.676,Woods Humane Society North County,https://www.petfinder.com/member/us/ca/atascadero/woods-humane-society-north-county-ca1771/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1806,2,Baby,34.131659,-117.5924,Angels N Paws,https://www.petfinder.com/member/us/ca/rancho-cucamonga/angels-n-paws-ca1806/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1815,2,Baby,34.209407,-118.57735,Little Pampered Paws Rescue,https://www.petfinder.com/member/us/ca/winnetka/little-pampered-paws-rescue-ca1815/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1874,2,Adult,33.016928,-116.846046,California Labradors Retrievers and More,https://www.petfinder.com/member/us/ca/san-diego/california-labradors-retrievers-and-more-ca1874/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1881,1,Adult,33.997178999999996,-118.40145,Adopt & Shop,https://www.petfinder.com/member/us/ca/culver-city/adopt-and-shop-ca1881/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
CA1886,40,Baby,33.975266999999995,-117.72305,Priceless Pet Rescue,https://www.petfinder.com/member/us/ca/chino-hills/priceless-pet-rescue-ca1886/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
